question,golden_answers,golden_law_context,golden_case_context,top_k_law_statutes,top_k_case_statutes,any_correct_law_retrieved,any_correct_case_retrieved,any_correct_retrieved
"A non-citizen defendant, whose native language is not English, entered a guilty plea to a first-degree misdemeanor assault charge without an interpreter present at the plea hearing. The defendant never requested an interpreter, and the trial court did not appoint one, though an earlier arraignment entry was stamped ""Order Interpreter – Swahili"" for unknown reasons. During the plea, the trial court read the defendant a form advising of potential immigration consequences (deportation, exclusion, denial of naturalization), and the defendant indicated understanding. Subsequently, the defendant filed a post-sentence motion to withdraw the guilty plea, arguing that a limited understanding of English prevented a knowing, intelligent, and voluntary plea, and that trial counsel provided ineffective assistance by failing to adequately advise on the immigration consequences of an assault conviction. The defendant claimed that if properly advised, they would have gone to trial. Should the trial court grant the motion to withdraw the guilty plea?","No, the trial court should deny the motion to withdraw the guilty plea. The defendant's claim of a language barrier preventing a knowing, intelligent, and voluntary plea lacks merit, as the regularity of the plea hearing (where no interpreter was requested or appointed) is presumed due to the absence of a transcript. Additionally, testimony from the defendant's former counsel and probation officer, along with previous trial testimony given by the defendant without an interpreter, demonstrated a sufficient ability to understand and communicate in English at the time of the plea. Regarding ineffective assistance of counsel, the deportation consequence of a first-degree misdemeanor assault conviction is not ""truly clear"" under federal immigration law (8 U.S.C. 1227(a)(2)(A)(i)), as assault ""may or may not involve moral turpitude."" Therefore, counsel was only required to advise the defendant that pleading guilty to assault might carry a risk of adverse immigration consequences. Since counsel's testimony, which the trial court found credible, indicated that she discussed the immigration consequences listed in the plea form with the defendant, her performance was not deficient. As such, no manifest injustice occurred to warrant withdrawing the guilty plea.",,,,,,,
"A software services company, ""GlobalTech Solutions,"" had its H-1B visa petition for a ""Senior Software Engineer"" denied by USCIS on the grounds that it failed to demonstrate the position was a ""specialty occupation"" and did not provide sufficient details on job duties. GlobalTech now seeks to intervene in an ongoing lawsuit filed by another company, ""Innovate Systems,"" whose H-1B petition for a ""Project Manager IT"" was also denied by USCIS for similar reasons (failure to prove specialty occupation and employment relationship). GlobalTech argues that both cases involve common questions of law under the APA regarding USCIS's arbitrary and capricious denials. Should the court grant GlobalTech Solutions' motion for permissive intervention under Federal Rule of Civil Procedure 24(b)?","No, the court should deny GlobalTech Solutions' motion for permissive intervention. Intervention would be inappropriate because it would result in undue delay and the two companies' cases are factually distinct. USCIS's review of H-1B visa petitions is fact-intensive and courts' review is limited to the administrative record. The two companies' petitions would not share a single piece of evidence in common, and the job positions, while broadly involving computer technology, would have significantly varying specific functional responsibilities (e.g., ""Senior Software Engineer"" versus ""Project Manager IT""). Furthermore, Innovate Systems' case likely involves an additional legal question (proving an employer-employee relationship) not present in GlobalTech's case, which could prove dispositive and adds complexity. Given these distinct factual and legal natures, reviewing separate agency decisions and records would inject unnecessary complexity and delay into the existing case. The desire of counsel to coordinate a litigation strategy does not constitute a practical purpose that justifies intervention and would conflict with local rules for random case assignment.",,,,,,,
"A U.S. federal agency, seeking to withhold internal communications under the Freedom of Information Act's Exemption 5, claims that disclosing these documents would ""discourage the expression of candid opinions and inhibit the free and frank exchange of information among agency personnel,"" and ""could adversely impact the free flow of advice and information and could chill interactions and communications between agency employees and their legal counsel."" The agency's declaration and Vaughn index use these phrases uniformly for various documents, without providing specific details linking the asserted harm to the particular information in each withheld record. Will a federal court likely uphold the agency's withholdings based on these justifications?","No, a federal court will likely not uphold the agency's withholdings based on these justifications. The court in *Doe v. United States Immigration and Customs Enforcement* found similar ""boilerplate"" and ""generic assertions"" insufficient to meet the burden of showing a reasonably foreseeable harm from disclosure. For deliberative-process privilege claims, the agency must provide a ""focused and concrete demonstration"" of how disclosure of the *particular type of material at issue* would, in the *specific context of the agency action*, actually impede future agency deliberations. For attorney-client privilege claims, merely asserting that disclosure would chill future communications, without articulating the nature of the harm and linking it to specific information, is insufficient. The court would likely deny summary judgment and require the agency to provide a more detailed declaration or updated Vaughn index with specific, non-conclusory explanations of foreseeable harm for each withheld document.",,,,,,,
"After being convicted of conspiracy to commit bank and wire fraud and ordered to pay over $200,000 in restitution, an individual is found removable as an aggravated felon. If this individual, while detained and proceeding pro se, files a petition for review of the BIA's order 31 days after it was mailed, can they successfully challenge the use of the restitution amount to establish the aggravated felony, or argue ineffective assistance of counsel in their immigration proceedings?","No, the individual in this situation would likely not successfully challenge the use of the restitution amount to establish the aggravated felony, nor could they argue ineffective assistance of counsel in their immigration proceedings if not properly raised before the BIA.

Firstly, the court would likely have jurisdiction to hear the petition for review, despite it being received 31 days after the BIA order was mailed, because the ""prison mailbox rule"" (Federal Rule of Appellate Procedure 25(a)(2)(A)(iii)) applies to pro se detainees in immigration proceedings. This rule deems a filing timely if it is deposited in the institution's internal mail system on or before the last day for filing, with a compliant certificate of service or evidence of deposit.

Secondly, regarding the aggravated felony determination, a restitution order tied to a fraud conspiracy conviction, clearly showing a loss to victims exceeding $10,000, provides clear and convincing evidence to establish that the conviction constitutes an aggravated felony under 8 U.S.C. § 1101(a)(43)(M). The Board of Immigration Appeals (BIA) is permitted to rely on such sentencing-related material to determine the amount of loss, and the individual's restitution order for $229,717.30 linked to their conviction would be sufficient evidence.

Finally, any claim of ineffective assistance of counsel concerning immigration proceedings cannot be considered by the court if the individual failed to first raise it before the BIA on direct appeal or in a motion to reopen. Failure to exhaust an issue before the BIA is a jurisdictional bar for the appellate court. Additionally, other unreasoned and unsupported claims would likely be considered abandoned.",,,,,,,
"Can a federal district court exercise subject-matter jurisdiction over an Administrative Procedure Act challenge to the United States Citizenship and Immigration Services' denial of jurisdiction over an alien's adjustment-of-status application, when the alien is subject to an outstanding order of removal?","No, a federal district court cannot exercise subject-matter jurisdiction over an Administrative Procedure Act (APA) challenge to the United States Citizenship and Immigration Services' (USCIS) denial of jurisdiction over an alien's adjustment-of-status application when the alien is subject to an outstanding order of removal. Such an action functionally constitutes an ""indirect"" challenge to a pending removal order. Under 8 U.S.C. § 1252(a)(5), the sole and exclusive means for judicial review of an order of removal is a petition for review filed with an appropriate court of appeals, precluding judicial review under the APA. As the immigration court, specifically the Board of Immigration Appeals (BIA), retained exclusive jurisdiction over adjustment-of-status applications for aliens in ongoing deportation/removal proceedings, the USCIS correctly denied jurisdiction, and the challenge to that denial is barred.",,,,,,,
"A noncitizen worker's I-140 immigrant work visa petition was revoked by USCIS thirteen years after its approval, despite the worker having activated the ""job portability"" provision by changing employers after 180 days of their I-485 application pending. Subsequently, the worker's I-765 application for employment authorization was denied. Can a federal court review these agency actions?","No, a federal court cannot review either action. The revocation of the I-140 immigrant work visa petition under 8 U.S.C. § 1155 is committed to the unreviewable discretion of the executive branch, and courts lack jurisdiction to consider such revocations. The portability provision in 8 U.S.C. § 1154(j) does not strip the Secretary of Homeland Security of this revocation authority, as it applies to a petition's validity with respect to a *new* job, not to a petition that was determined to be invalid from its inception. Similarly, the denial of the I-765 application for employment authorization is committed to the discretion of USCIS by law under 8 C.F.R. § 274a.12(c) and 8 C.F.R. § 274a.13(a)(1), and is therefore unreviewable under the Administrative Procedure Act (APA) because there are no judicially manageable standards against which to judge the agency’s exercise of discretion.",,,,,,,
"An H-1B visa applicant, whose petition was denied by USCIS based on a requirement that the employer prove specific, non-speculative work assignments for the entire visa duration, seeks a preliminary injunction. This denial occurred before a recent federal court decision invalidated that very USCIS policy. What action might a U.S. District Court take regarding the applicant's H-1B petition and immigration status in this situation?","The U.S. District Court granted the preliminary injunction in part for the H-1B applicant, Mr. Venkatraman. The court found a strong likelihood of success on the merits because USCIS's denial of his H-1B petition was clearly influenced by, and based on, the invalid ""non-speculative work requirement"" for the entire visa duration, as established by the intervening *Itserve Alliance, Inc. v. Cissna* decision. The court also determined there was a likelihood of irreparable harm due to the applicant's loss of lawful immigration status and the impending 180-day deadline, which would trigger a three-year bar on readmissibility to the U.S. Consequently, the court stayed USCIS's decision denying Mr. Venkatraman's petition, making the stay retroactive to February 14, 2020, to prevent the accrual of unlawful presence and ensure he retained lawful immigration status. Furthermore, the court vacated USCIS's denial decision and remanded the petition to the agency, ordering USCIS to reconsider it within sixty days in light of the *Itserve Alliance* ruling, without expressing an opinion on the ultimate merits of the petition.",,,,,,,
"A Christian leader from El Salvador, Samuel Argueta-Hernandez, was repeatedly threatened by MS-13 gang members after he refused to pay extortion and collaborate with them, with later threats explicitly mentioning his religious leadership. An assassin attempted to kill his son, and Salvadoran authorities, while acknowledging his danger, told him they could not protect him and even asked him to sign a liability waiver if he remained in the country. If the Board of Immigration Appeals (BIA) denies his applications for withholding of removal and protection under the Convention Against Torture (CAT), stating that the harm was not severe enough due to lack of physical injury, that the nexus to his religion was insufficient as the gang's primary motive was extortion, and that the government's temporary safe house and facilitated departure demonstrated a willingness to protect him, how should a U.S. Court of Appeals review this decision?","The U.S. Court of Appeals should grant the petition for review, reverse the BIA's decision, and remand for further proceedings. The BIA misapplied prevailing case law by effectively requiring physical harm to establish persecution and by disregarding credible death threats and the attempt to kill the petitioner's son. It also erred in its nexus analysis by treating motive as an ""either-or"" proposition, failing to consider mixed motives (such as extortion coexisting with religious persecution) and one of the proposed particular social groups (Salvadoran informants against gang members). For the CAT claim, the BIA disregarded crucial evidence and failed to adequately support its decision that the Salvadoran government was willing and able to protect the petitioner, incorrectly interpreting temporary accommodation and facilitated departure as evidence of protection when authorities explicitly stated they could not ensure his safety and sought a liability waiver.",,,,,,,
Can a U.S. federal court compel USCIS to reverse its discretionary denial of an employment authorization application (Form I-765) and approve it during the pendency of judicial review?,"No, a U.S. federal court cannot compel USCIS to reverse its discretionary denial of an employment authorization application (Form I-765) and approve it during the pendency of judicial review. The denial of an I-765 application is committed to the discretion of USCIS by law, making it unreviewable under the Administrative Procedure Act (APA) because there are no judicially manageable standards in the relevant statutes or regulations against which to judge USCIS's exercise of discretion. Furthermore, a request to reverse the denial and approve authorization is a mandatory injunction, which is an extraordinary remedy requiring a clear likelihood of success on the merits, a standard the plaintiff failed to meet. The court also cannot compel agency action (like reopening an I-765) under APA § 706(1) unless it's a discrete, ministerial, and non-discretionary duty, which is not the case for I-765 applications. Even if the I-765 denial were reviewable and erroneous, the error would be harmless as the plaintiff currently lacks a pending I-485 application, which is a prerequisite for I-765 approval.",,,,,,,
"Under what circumstances does a U.S. Court of Appeals lack jurisdiction to review a Board of Immigration Appeals' (BIA) decision to deny cancellation of removal, and what procedural requirements must an alien meet to challenge BIA procedural errors on appeal?","The U.S. Court of Appeals lacks jurisdiction to review a BIA's purely discretionary decision to deny cancellation of removal, even if the alien is statutorily eligible, because Congress expressly stripped jurisdiction over ""any judgment regarding the granting of relief under section . . . 1229b"" by 8 U.S.C. § 1252(a)(2)(B)(i). This jurisdictional strip applies unless the appeal involves reviewable constitutional claims or questions of law, which standardless discretionary decisions do not meet. Furthermore, the court lacks jurisdiction over claims of BIA procedural errors, such as an ultra vires act by a temporary board member, if the alien failed to exhaust all administrative remedies available as of right, specifically by not raising the issue in a motion to reconsider before the BIA. Lastly, if an alien appeals a BIA denial of a motion for reconsideration but forfeits essential arguments on appeal by not asserting them in their briefs, the court will dismiss the petition as any ruling on the preserved argument would be advisory.",,,,,,,
"A public interest legal organization requests that the Board of Immigration Appeals (BIA) make all of its non-precedential, unpublished opinions publicly available in an electronic format, arguing that FOIA's affirmative disclosure obligations require it. The BIA denies the request, stating that courts can only order the production of documents to the requesting party, not their public release. Can a U.S. federal court compel the BIA to make these documents publicly available online, rather than just producing them to the organization?","Yes, a U.S. federal court can compel the Board of Immigration Appeals (BIA) to make its non-precedential, unpublished opinions publicly available online. The Freedom of Information Act's (FOIA) remedial provision, 5 U.S.C. § 552(a)(4)(B), authorizes district courts to order injunctive relief that enforces agencies' affirmative disclosure obligations under 5 U.S.C. § 552(a)(2), including the duty to make certain documents publicly available for inspection in an electronic format. This power is not limited to merely ordering the production of records to the individual complainant.",,,,,,,
"In a class action lawsuit against U.S. Immigration and Customs Enforcement (ICE) concerning its compliance with statutory obligations for the placement of young adults transitioning from unaccompanied alien children custody, a party seeks to introduce expert testimony from a statistician, a former agency administrator, and a pediatrician. What is the likelihood that the court will allow each expert to testify regarding the agency's compliance and the impact of its practices, based on similar expert challenges?","The court is likely to rule as follows:
1.  **Statistician (Qing Pan and Joseph Gastwirth)**: The court will deny a motion to exclude *certain opinions* of statisticians, allowing them to testify primarily on statistical methodology and data analysis. However, the court will caution that testimony not based on reliable statistical methods or straying into improper legal conclusions regarding ICE's statutory compliance will be given little weight. The court notes that it will entertain objections at trial.
2.  **Former Agency Administrator (Gary Mead)**: The court will grant a motion to exclude the testimony of a former agency administrator. The court finds that such testimony, which consists nearly entirely of legal conclusions about whether ICE is following the requirements of the statute, is inappropriate as expert testimony because it addresses the ultimate question before the court and would not assist the factfinder.
3.  **Pediatrician (Dr. Julie Linton)**: The court will deny a motion to exclude the testimony of a pediatrician. While her testimony on the physical and mental health-related effects of adult detention on immigrant teenagers may not touch on the central merits issues of statutory compliance, it is deemed relevant to the critical questions of remedies, specifically the four-factor test for injunctive relief (irreparable injury, adequacy of legal remedy, balance of hardships, and public interest).",,,,,,,
"Can an immigrant investor successfully sue U.S. Citizenship and Immigration Services (USCIS) for unreasonable delay in adjudicating their Form I-526 petition under the Administrative Procedure Act or the Mandamus Act, given that the petition has been pending for approximately three to four years, the agency employs a visa availability and first-in, first-out processing method, and there is no binding statutory timetable for adjudication?","No, an immigrant investor cannot successfully sue USCIS for unreasonable delay under these circumstances. The court found that the TRAC factors, used to evaluate the reasonableness of agency delay, favored the defendants. Specifically:
1.  **Rule of Reason:** USCIS's ""visa availability"" and ""first-in, first-out"" processing method is a ""rule of reason"" and ""identifiable rationale"" that prioritizes applicants for whom visas are available, which courts in this District have consistently found reasonable. A three to four-year delay, while significant, falls within the range of what courts have deemed reasonable for immigration petitions in the absence of specific congressional guidance.
2.  **Statutory Timetable:** Congress has not imposed a binding statutory timetable for adjudicating Form I-526 petitions. The ""sense of Congress"" language regarding a 180-day processing goal is precatory, not mandatory.
3.  **Higher/Competing Priority:** Expediting the plaintiff's petition would reorder agency priorities and undermine USCIS's allocation of resources by moving the plaintiff ahead of other similarly situated applicants, which courts generally disfavor.
4.  **Human Health and Welfare/Interests Prejudiced:** The plaintiff's asserted hardships, such as an uncertain future or inability to obtain employment, are primarily economic and personal difficulties inherent to the application process, not the kind of serious health and welfare interests typically addressed by these factors.
5.  **Impropriety:** The plaintiff failed to plausibly plead any factual claims of impropriety, offering only conclusory allegations.",,,,,,,
"Can a federal court exercise subject matter jurisdiction to halt the removal of an immigrant with a valid removal order who claims a ""regulatory right"" to remain in the United States while their application for a provisional unlawful presence waiver is pending?","No, federal courts lack subject matter jurisdiction to interfere with the execution of valid removal orders based on claims that pending provisional unlawful presence waiver applications create a ""regulatory right"" to remain in the United States. This is due to 8 U.S.C. § 1252(g), which strips federal courts of jurisdiction over ""any cause or claim"" by an alien arising from the decision or action by the Attorney General to execute removal orders, making no exception for challenges to the government's underlying ""authority"" to execute such orders.",,,,,,,
"An alien ordered removed in absentia seeks to reopen their removal proceedings, arguing that the immigration court lacked jurisdiction because the Notice to Appear (NTA) was not filed, that the Board of Immigration Appeals improperly relied on a reconstructed record containing a Form I-213 instead of the NTA to prove notice, and that their due process rights were violated due to lack of written notice of the hearing. Should the federal appellate court grant the petition to review and reverse the denial of the motion to reopen?","No, the federal appellate court should deny the petition for review. The court found that the regulation concerning NTA filing (8 C.F.R. § 1003.14(a)) is a claim-processing rule, not jurisdictional, thus rejecting the jurisdictional challenge. The court also affirmed the BIA's reliance on the Form I-213 from the reconstructed record, deeming it an ""inherently trustworthy"" and admissible document that could establish the alien's deportability and that he received notice of his removal hearing, especially since no evidence suggested it was incorrect or obtained by coercion. Furthermore, the court concluded that the alien failed to present compelling evidence sufficient to reverse the BIA's finding that he received notice and an interpreter, thereby not demonstrating that his in absentia removal order should be rescinded for lack of notice under 8 U.S.C. § 1229(a)(1)(G)(i) and § 1229a(b)(5)(C)(ii). Finally, the court dismissed the due process claims, stating there is no liberty interest in the discretionary denial of a motion to reopen, and that the alien failed to show substantial prejudice regarding his purported failure to receive notice, as the BIA properly relied on the Form I-213.",,,,,,,
