question,golden_answers,golden_law_context,golden_case_context,top_k_law_statutes,top_k_case_statutes,any_correct_law_retrieved,any_correct_case_retrieved,any_correct_retrieved,faithfulness_score
"If an alien receives a Notice to Appear (NTA) that does not contain the date and time of their removal proceedings, but subsequently receives a Notice of Hearing (NOH), does the initial defect in the NTA invalidate the removal proceedings, entitling the alien to a remand based on *Rodriguez v. Garland*?","No, an alien is not entitled to a remand based on *Rodriguez v. Garland* if they received, or do not dispute receiving, a subsequent Notice of Hearing, even if the initial Notice to Appear did not contain the date and time of their removal proceedings. The receipt of the NOH distinguishes the case from *Rodriguez*.","[('usc', '8', '')]","['campos-chaves v. garland', 'rodriguez v. garland', 'correa dos santos v. garland']","[{'title': '8 C.F.R. § 1003.18(b)', 'chunk': '8 C.F.R. § 1003.18(b) is cited as a regulation that does not always require a notice to appear to contain the time, date, or place of a hearing.'}]","[{'title': 'Matter of Rosales Vargas & Rosales Rosales', 'chunk': ""Matter of Rosales Vargas & Rosales Rosales is cited in the document regarding the respondent's removal proceedings. The case is cited as precedent that a notice to appear that fails to specify the time or place of an alien’s initial removal hearing vests an Immigration Judge with jurisdiction over proceedings, so long as a notice of hearing specifying this information is later served on the alien.""}, {'title': 'Karingithi v. Whitaker', 'chunk': ""The BIA cited Karingithi v. Whitaker in its decision regarding the respondent's removal proceedings. Karingithi v. Whitaker held that a notice to appear that fails to specify the time or place of an alien’s initial removal hearing vests an Immigration Judge with jurisdiction over proceedings.""}]",0,0,0,
"A public interest organization submits a Freedom of Information Act (FOIA) request to a federal agency, seeking all complaint records filed against its administrative judges. The agency responds by disclosing thousands of pages of documents, but with two types of redactions: (1) all administrative judges' names are redacted, with the agency arguing a blanket privacy interest under FOIA Exemption 6, and (2) discrete sentences or paragraphs within otherwise responsive complaint records are redacted, with the agency asserting that this information is ""non-responsive"" to the request, even if it does not fall under any FOIA exemption. The organization challenges both categories of redactions in court. How should a court rule on these challenges based on the provided case?","Based on the case ruling, the court should rule as follows:
1.  **Redaction of judges' names under Exemption 6:** The agency's categorical, across-the-board redaction of all administrative judges' names would likely be deemed inadequately justified. FOIA Exemption 6 does not categorically exempt individuals' identities, as the privacy and public interests at stake can vary depending on factors such as whether the judge is sitting or retired, the seriousness and number of complaints, and the potential for public understanding of government operations through disclosure. A more individualized inquiry, or a particularized showing for defined subgroups of judges, is required to properly balance the privacy interests against the public interest in disclosure.
2.  **Redaction of non-responsive information within responsive records:** The court should find no statutory basis for redacting ostensibly non-responsive information from a record once that record has been deemed responsive to a FOIA request. Under the statutory framework, once an agency identifies a record as responsive, the sole basis for withholding information within that record is if the information falls within one of FOIA's nine statutory exemptions. Redacting non-exempt information on the basis of non-responsiveness within an otherwise responsive record is not permitted by the statute.","[('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', '')]","['american immigration lawyers assn v. executive office for immigration review', 'milner v. dept of navy', 'citizens for responsibility & ethics in wash. v. u.s. dept of justice crew i', 'assassination archives & research ctr. v. cia', 'vaughn v. rosen', 'larson v. dept of state', 'multi ag media llc v. dept of agric.', 'u.s. dept of justice v. reporters comm. for freedom of press', 'natl assn of home builders v. norton', 'schrecker v. u.s. dept of justice', 'judicial watch inc. v. food & drug admin.', 'armstrong v. exec. office of the president', 'gallant v. nlrb', 'united states v. landano', 'prison legal news v. samuels', 'skelton v. united states postal service', 'common cause v. irs', 'nlrb v. sears roebuck & co.', 'leeds v. commr of patents & trademarks', 'vietnam veterans of amer. v. dept of navy', 'am. immigration lawyers assn v. exec. office for immigration review']",[],[],0,0,0,
"A U.S. company, ""InnovateTech Inc."", seeks to extend an H-1B visa for its foreign citizen employee, who works as a ""Lead Software Architect"" at a client site through a subcontracting arrangement. USCIS denies the extension, citing (1) a lack of sufficiently detailed, non-speculative day-to-day work assignments for the entire visa period, (2) perceived inconsistencies in the minimum degree requirements stated across different application documents (e.g., ""bachelor's degree in a computer-related field"" vs. ""bachelor's or higher degree in Information Technology or Computer Science""), and (3) insufficient evidence to prove InnovateTech has ""actual control"" over the employee's specific tasks at the client site, despite InnovateTech providing documentation confirming its exclusive right to hire, pay, fire, and supervise the employee. InnovateTech had also referenced the Department of Labor's Occupational Outlook Handbook to argue that a ""Lead Software Architect"" position typically requires a bachelor's degree in a specific specialty, but USCIS did not address this argument in its denial. Can InnovateTech successfully challenge this denial under the Administrative Procedure Act?","Yes, InnovateTech can likely successfully challenge the denial. Based on the provided court ruling, USCIS's denial would be considered arbitrary and capricious for several reasons. First, requiring detailed evidence of non-speculative day-to-day work assignments for the entire visa duration and focusing a ""searching inquiry into the specific services"" goes against established legal precedent regarding the ""specialty occupation"" requirement. Second, USCIS's failure to meaningfully consider or even mention InnovateTech's argument that the position is akin to an occupation described in the Department of Labor's Occupational Outlook Handbook, which could satisfy the specialty occupation criteria, renders the decision arbitrary and capricious. Third, USCIS's demand for evidence of ""actual control"" over the employee's work and duties beyond the ability to hire, pay, or fire, when InnovateTech has provided evidence of the legal right to control these factors, is inconsistent with regulatory language that states these factors are independently sufficient to establish an employer-employee relationship. The court would likely grant InnovateTech's motion for summary judgment and remand the case for reconsideration consistent with these principles.","[('usc', '8', ''), ('cfr', '8', ''), ('usc', '8', ''), ('cfr', '8', ''), ('cfr', '8', ''), ('usc', '8', ''), ('cfr', '8', ''), ('usc', '8', ''), ('usc', '8', '')]","['stellar it solutions inc v. united states citizenship and immigration services', 'stellar it sols. inc. v. u.s. citizenship and immigration servs.', 'itserve all. inc. v. cissna', 'ctr. for food safety v. salazar', 'ardmore consulting grp. inc. v. contreras-sweet', 'kaiser found. hosps. v. sebelius', 'motor vehicle mfrs. assn of u.s. inc. v. state farm mut. auto. ins.', 'agape church inc. v. fcc', 'recording indus. assn of am. inc. v. librarian of congress', 'at&t inc. v. fcc', 'auer v. robbins', 'taylor made software inc. v. cuccinelli', 'innova sols. inc. v. baran', 'bnsf ry. co. v. surface transp. bd.', 'pam squared at texarkana llc v. azar']",[],[],0,0,0,
"An individual challenges an immigration judge's in absentia removal order, arguing the NTA was defective because it omitted the date and time of proceedings. However, the individual admits to having received a subsequent notice of hearing (NOH). Does the receipt of a subsequent NOH affect the individual's ability to successfully challenge the removal order based on a defective NTA?","No, the receipt of a subsequent Notice of Hearing (NOH) undermines the argument that the immigration judge lacked authority to conduct removal proceedings due to an initially defective NTA. The court distinguishes such a case from situations where no subsequent NOH was received, concluding that the petition for review challenging the removal order should be denied.","[('usc', '8', '')]","['campos-chaves v. garland', 'rodriguez v. garland', 'singh v. garland']",[],[],0,0,0,
"An individual, native and citizen of Mexico, is ordered removed from the U.S. after being convicted in Texas of aggravated sexual assault with a deadly weapon. The individual argues that this conviction does not qualify as an ""aggravated felony"" under federal immigration law, and thus he is not removable. He also challenges the denial of his motion for continuance, claiming the immigration judge abused discretion by finding he lacked ""good cause."" Based on U.S. federal court precedent, should the petition for review challenging the removability finding and the denial of continuance be granted?","No, the petition for review should be denied. Aggravated sexual assault with a deadly weapon under Texas law is considered a crime of violence and, therefore, an aggravated felony for purposes of federal immigration law because it requires the intentional or knowing use or attempted use of physical force with a deadly weapon. The Texas offense requires the use or exhibition of a deadly weapon in a manner that facilitates the associated felony, satisfying the federal definition of a crime of violence. Consequently, an individual convicted of this offense is removable. Furthermore, the denial of a motion for continuance is reviewed for abuse of discretion, and immigration judges may consider a wide range of factors, including criminal history, in determining ""good cause."" Given that an immigration judge cited such factors, declining to find an abuse of discretion is appropriate.","[('usc', '8', ''), ('usc', '8', '')]","['delgado-victorio v. garland', 'singh v. sessions', 'garcia v. barr', 'ali v. gonzales', 'borden v. united states', 'patterson v. state', 'mccain v. state']",[],[],0,0,0,
"An immigrant invested $500,000 in an American business, believing it would qualify them for an EB-5 immigrant investor visa. USCIS initially approved the I-526 petition but later initiated revocation proceedings, arguing the investment funds (loan proceeds from a jointly owned property) were not entirely the immigrant's ""own capital at risk."" USCIS then issued a decision explicitly stating the visa petition was ""denied,"" not ""revoked."" The immigrant, through new counsel, filed a motion to reopen or reconsider (MTR), citing ineffective assistance of prior counsel and a new interpretation of the loan documents. USCIS denied the MTR. If the immigrant seeks judicial review in federal court, challenging both the ""denial"" of the visa petition and the denial of the MTR, will the federal court have subject matter jurisdiction, and what must the immigrant specifically allege to adequately state a claim regarding the denial of the MTR?","Yes, the federal court will have subject matter jurisdiction. The court will treat the initial USCIS decision as a ""denial"" of a visa petition, which is subject to judicial review, rather than an unreviewable ""revocation,"" especially when the agency's decision documents explicitly characterize it as a denial. The court will also have jurisdiction to review the denial of a motion to reopen or reconsider. However, to adequately state a claim challenging the denial of a motion to reopen based on ineffective assistance of counsel, the immigrant must allege that specific procedural requirements were met: (1) providing an affidavit describing the agreement with counsel in detail; (2) informing counsel of the allegations and affording counsel an opportunity to respond; and (3) reporting whether a complaint of ethical or legal violations has been filed, and if not, why. For a motion to reconsider, the immigrant must establish that the decision was based on an incorrect application of law or Service policy, supported by pertinent precedent decisions, and not merely raise new factual interpretations of documents.","[('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('cfr', '8', ''), ('cfr', '8', ''), ('cfr', '8', '')]","['wang v. united states citizenship and immigration services', 'moms against mercury v. fda', 'georgiades v. martin-trigona', 'herbert v. natl acad. of scis.', 'nat. res. def. council inc. v. sec', 'mohammad v. napolitano', 'wilderness soc. v. norton', 'jicarilla apache nation v. united states department of the interior', 'sea b mining company v. addison', 'burlington truck lines inc. v. united states', 'sec v. chenery corp.', 'mata v. lynch', 'bell atl. corp. v. twombly', 'ashcroft v. iqbal', 'delgado v. quarantillo', 'grewal v. uscis', 'strong v. ins']",[],"[{'title': 'Matter of C-Y-Appeal of Immigrant Investor Program Office Decision Form I-526, Immigrant Petition By Alien Entrepreneur', 'chunk': 'Matter of C-Y-Appeal of Immigrant Investor Program Office Decision Form I-526 denied petitioner for failing to document fund transfers. Decision date: August 19, 2016. Citation: 2016 WL 4619963.'}]",0,0,0,
"A regional center, originally designated in 2010 under the prior EB-5 regional-center statute, maintains ongoing investments with 23 investors whose petitions are pending. However, it has not sponsored any new investment projects or investors since the passage of the EB-5 Reform and Integrity Act of 2022. The regional center challenges the U.S. Citizenship and Immigration Services' (USCIS) imposition of the annual EB-5 Integrity Fund Fee, arguing that it was not ""designated under subparagraph (E)"" of the new Act and that applying the fee retroactively would be unlawful. Must this regional center pay the annual Integrity Fund Fee?","Yes, the regional center must pay the annual Integrity Fund Fee. The court held that the phrase ""designated under subparagraph (E)"" applies to all currently designated regional centers, regardless of when their designation initially began. The word ""designated"" in the statute refers to an ongoing status rather than a one-time past event. The court reasoned that the Act's overall framework, the usage of ""designate"" versus ""establish,"" and the Act's purpose (to combat fraud that arose from pre-Act regional centers) support this broad interpretation. Furthermore, the court concluded that the Integrity Fund Fee is not unlawfully retroactive; it is a forward-looking, prospective fee for continued participation in the EB-5 regional-center program, not a penalty for past conduct or an imposition of new duties on already completed transactions.","[('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', '')]","['sunshine state regional center inc v. director us citizenship and immigration services', 'eb5 holdings inc. v. jaddou', 'da costa v. immigr. inv. program off.', 'behring regl ctr. llc v. mayorkas', 'loper bright enters. v. raimondo', 'chevron u.s.a. inc. v. nat. res. def. council inc.', 'united states v.', 'bernal v. nra grp. llc', 'fla. dept of revenue v. piccadilly cafeterias inc.', 'henson v. santander consumer usa inc.', 'bello v. gacki', 'ardestani v. ins', 'turner v. u.s. atty gen.', 'trw inc. v. andrews', 'duncan v. walker', 'sw. airlines co. v. saxon', 'king v. burwell', 'graham cnty. soil & water conservation dist. v. united states ex rel. wilson', 'bowen v. georgetown univ. hosp.', 'rendon v. u.s. atty gen.', 'landgraf v. usi film prods.', 'yellen v. confederated tribes of chehalis rsrv.', 'bostock v. clayton county', 'drazen v. pinto', 'harris v. garner', 'digital realty tr. inc. v. somers', 'boroski v. dyncorp intl', 'food & drug admin. v. brown & williamson tobacco corp.']","[{'title': 'EB-5 Reform and Integrity Act of 2021', 'chunk': 'The EB-5 Reform and Integrity Act of 2022 requires regional centers to pay an annual Integrity Fund Fee. Sunshine State Regional Center, Inc., a pre-Act center, argued it was exempt, but the court ruled the fee applies to all designated centers.'}]","[{'title': 'Matter of C-Y-Appeal of Immigrant Investor Program Office Decision Form I-526, Immigrant Petition By Alien Entrepreneur', 'chunk': 'Matter of C-Y-Appeal of Immigrant Investor Program Office Decision Form I-526 denied petitioner for failing to document fund transfers. Decision date: August 19, 2016. Citation: 2016 WL 4619963.'}, {'title': 'Da Costa v. Immigr. Inv. Program Off.', 'chunk': 'The EB-5 Reform and Integrity Act of 2022 requires regional centers to pay an annual fee. Sunshine State Regional Center, Inc. argued it was exempt as a pre-Act center.'}]",0,1,1,
"My client was lawfully present in the U.S. on an H1B visa but was convicted of conspiracy to commit money laundering under 18 U.S.C. § 1956(h), involving over $10,000. He fears he will be found removable as an aggravated felon and wants to know if there are any grounds to challenge this or seek a waiver of inadmissibility, especially considering his claim that his conviction did not require proof of an overt act. He also believes his removal proceedings were flawed due to a defective notice to appear and missing hearing transcripts. What does the law say about his situation, particularly regarding the definition of an aggravated felony and his eligibility for relief?","The court denied the petition for review in part and dismissed it in part. The court affirmed that a conviction for conspiracy to commit money laundering under 18 U.S.C. § 1956(h) involving funds exceeding $10,000 plainly constitutes an aggravated felony under 8 U.S.C. § 1101(a)(43)(D), making the individual removable. It was deemed unnecessary to address whether such a conviction also qualified under 8 U.S.C. § 1101(a)(43)(U) or required proof of an overt act.
Regarding the claim for a waiver of inadmissibility under 8 U.S.C. § 1182(h), the court dismissed this petition for lack of jurisdiction because the petitioner failed to exhaust administrative remedies by not raising the ""overt act"" argument concerning inadmissibility before the BIA. Additionally, 8 U.S.C. § 1182(a)(2)(I)(ii), which covers knowing conspirators in money laundering offenses, is not among the provisions for which waivers are available under § 1182(h).
The due process challenge concerning allegedly missing hearing transcripts was denied because the petitioner failed to demonstrate any substantial prejudice. Lastly, the argument that the immigration authorities lacked jurisdiction due to a defective notice to appear, based on *Pereira v. Sessions*, was denied, as the court reiterated that its precedent holds *Pereira* and *Niz-Chavez v. Garland* do not extend beyond the ""stop-time rule"" context for valid charging documents under INA regulations.","[('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', '')]","['maniar v. garland', 'whitfield v. united states', 'rodriguez v. holder', 'nehme v. ins', 'guerrero-lasprilla v. barr', 'nasrallah v. barr', 'shroff v. sessions', 'michigan v. epa', 'sec v. chenery corp.', 'luna-garcia v. barr', 'kwon v. ins', 'enriquez-gutierrez v. holder', 'nguhlefeh njilefac v. garland', 'morgan stanley cap. grp. v. pub. util. dist. 1 of snohomish cnty.', 'nlrb v. wyman-gordon co.', 'negusie v. holder', 'ins v. orlando ventura', 'pereira v. sessions', 'wang v. ashcroft', 'vazquez v. sessions', 'anwar v. ins', 'pierre-paul v. barr', 'niz-chavez v. garland', 'gruver v. la. bd. of supervisors for la. state univ. agric. & mech. coll.']",[],[],0,0,0,
"An individual is found removable under U.S. immigration law as an alien convicted of two or more crimes involving moral turpitude. One of the convictions is for making terroristic threats in violation of section 609.713, subdivision 1, of the Minnesota Statutes. The individual argues this specific offense is not a crime involving moral turpitude. Based on U.S. federal immigration court precedent, how would this argument likely be addressed regarding the classification of the Minnesota terroristic threats offense?","The offense of making terroristic threats in violation of section 609.713, subdivision 1, of the Minnesota Statutes is categorically a crime involving moral turpitude. The communication of an intent to injure another by use of violence, made either with the specific intent to ""terrorize"" another or with a conscious disregard of a substantial and unjustifiable risk of terrorizing another, is reprehensible conduct. Furthermore, making threats with purpose to cause evacuation of a building, place of assembly, vehicle or facility of public transportation or otherwise to cause serious public inconvenience, or in a reckless disregard of the risk of causing such inconvenience, is also reprehensible conduct.","['section 237(a)(2)(A)(ii) of the Immigration and Nationality Act, 8 U.S.C. § 1227(a)(2)(A)(ii) (2012)', ('cfr', '8', ''), 'section 101(a)(43)(F) of the Act, 8 U.S.C. § 1101(a)(43)(F) (2012)']","['salad', 'gomez-gutierrez v. lynch', 'moncrieffe v. holder', 'gonzales v. duenas-alvarez', 'alonzo v. lynch', 'adame-hernandez v. barr', 'guardado-garcia v. holder', 'state v. schweppe', 'state v. murphy', 'united states v.', 'state v. bjergum', 'state v. franks', 'chanmouny v. ashcroft', 'javier v. atty gen. of u.s.', 'latter-singh v. holder', 'avendano v. holder', 'franklin v. ins', 'united states v. mcfee', 'mathis v. united states', 'olmsted v. holder', 'state v. smith', 'state v. dick', 'state v. begbie', 'state v. rund', 'schenck v. united states', 'state v. tanis', 'state v. morris']","[{'title': 'section 609.713, subdivision 1, of the Minnesota Statutes', 'chunk': 'Section 609.713, subdivision 1, of the Minnesota Statutes is categorically a crime involving moral turpitude, according to the Board of Immigration Appeals (BIA) in Interim Decision #3972, decided on January 2, 2020.'}]","[{'title': 'Matter of Louissaint, 24 I&N Dec. 754', 'chunk': 'The offense of making terroristic threats in violation of section 609.713, subdivision 1, of the Minnesota Statutes is categorically a crime involving moral turpitude.'}, {'title': 'Matter of Solon, 24 I&N Dec. 239', 'chunk': 'The Board of Immigration Appeals (BIA) determined that the offense of making terroristic threats in violation of section 609.713, subdivision 1, of the Minnesota Statutes is categorically a crime involving moral turpitude.'}]",0,0,0,
"Can a foreign investor compel U.S. Citizenship and Immigration Services (USCIS) to expedite the processing of their Form I-526 application for an EB-5 immigrant visa, alleging an unreasonable 30-month delay that has led to mental and physical health issues, when USCIS follows a visa availability approach and Congress has not set a binding timeline for such adjudications?","No, a foreign investor cannot compel USCIS to expedite processing under these circumstances. The court found that USCIS had not unreasonably delayed in adjudicating the Form I-526 application. Applying the *TRAC* factors, the court determined that USCIS's visa availability approach constituted a rule of reason, and there was no binding congressional timeline. The effective 30-month delay was not considered unreasonable compared to similar cases. Crucially, granting relief would require reordering USCIS's priorities and would unfairly prejudice other applicants, a factor that weighed strongly in USCIS's favor. Although the Olofins' allegations of mental and physical health issues slightly favored them, these were not deemed grave enough to overcome the other factors supporting USCIS's position, especially the strong weight given to the agency's competing priorities. No impropriety on USCIS's part was alleged.","[('usc', '8', ''), ('usc', '8', ''), ('cfr', '8', ''), '8 USC § 1571(b)', ('usc', '8', '')]","['olofin v. us citizenship and immigration services', 'tingzi wang v. uscis', 'da costa v. immigr. inv. program off.', 'bell atl. corp. v. twombly', 'ashcroft v. iqbal', 'hettinga v. united states', 'skalka v. kelly', 'telecommunications research & action center v. fcc', 'didban v. pompeo', 'tate v. pompeo', 'ctr. for sci. in the pub. int. v. fda', 'palakuru v. renaud', 'sarlak v. pompeo', 'thakker v. renaud', 'emergency coal. to defend educ. travel v. dept of treasury', 'bega v. jaddou', 'cannon v. district of columbia', 'telles v. mayorkas', 'mokkapati v. mayorkas', 'milligan v. pompeo', 'mashpee wampanoag tribal council inc. v. norton', 'bagherian v. pompeo']",[],"[{'title': 'Devani v. U.S. Citizenship and Immigration Services', 'chunk': ""Plaintiff Nikunj Devani sued U.S. Citizenship and Immigration Services (USCIS) to compel the processing of his Form I-526. The court dismissed the action, finding no unreasonable delay in USCIS's processing.""}, {'title': 'Patel v. U.S. CITZENSHIP & IMMIGRATION SERVICES et. al.', 'chunk': ""Atinkumar Patel filed a petition for a writ of mandamus against USCIS et al. seeking to compel the immediate processing of his Form I-526 for an EB-5 visa. The court granted defendants' motion to dismiss, finding no unreasonable delay.""}, {'title': 'Olofin v. U.S. Citizenship and Immigration Services', 'chunk': 'Plaintiff Ketankumar Patel sued USCIS alleging unreasonable delay in adjudicating his Form I-526 petition. The court found the delay reasonable, citing agency procedures and lack of prejudice to Patel.'}]",0,1,1,
"Is sexual solicitation of a minor, in violation of section 3-324(b) of the Maryland Criminal Law, categorically a crime involving moral turpitude, and how does this affect an alien's eligibility for cancellation of removal, particularly concerning the mental state required regarding the victim's age?","Sexual solicitation of a minor in violation of section 3-324(b) of the Maryland Criminal Law with the intent to engage in an unlawful sexual offense under section 3-307 is categorically a crime involving moral turpitude, even when the statute requires no culpable mental state as to the age of the child. The Board of Immigration Appeals reaffirmed this position, clarifying that a sexual offense targeting very young victims (under 14, or under 16 with a significant age differential) is a CIMT due to inherent antisocial and depraved nature, regardless of a mistake of age defense. However, in light of the Fourth Circuit's view that the Board's prior decision represented a change in position, this holding will be applied prospectively in the Fourth Circuit. Therefore, the respondent in this case is not found removable on the CIMT ground and remains statutorily eligible for cancellation of removal, with the record remanded to the Immigration Judge for discretionary review of relief.","['section 212(a)(2)(A)(i)(I) of the Immigration and Nationality Act, 8 U.S.C. § 1182(a)(2)(A)(i)(I)', 'section 240A(b)(1)(C) of the Act, 8 U.S.C. § 1229b(b)(1)(C)', 'section 101(a)(43)(A) of the Act, 8 U.S.C. § 1101(a)(43)(A)']","['jimenez-cedillo', 'maxwell v. state', 'owens v. state', 'silva-trevino v. holder', 'olivas-motta v. holder', 'prudencio v. holder', 'fajardo v. u.s. atty gen.', 'jean-louis v. atty gen. of u.s.', 'mathis v. united states', 'morissette v. united states', 'gonzalez-alvarado v. ins', 'bendel v. nagle', 'castle v. ins', 'marciano v. ins', 'people v. hernandez', 'people v. olsen', 'people v. scott', 'united states v. fletcher', 'united states v. humphrey', 'united states v. malloy', 'united states v. wilson', 'new york v. ferber', 'united states v. williams', 'united states v. banker', 'united states v. daniels', 'united states v. engle', 'united states v. hughes', 'thompson v. barr', 'mehboob v. u.s. atty gen.', 'moreno v. u.s. atty gen.', 'gilmour v. rogerson', 'sotnikau v. lynch', 'lariosreyes v. lynch', 'choudry v. state', 'atty griev. commn v. greenleaf', 'ramirez v. sessions', 'boggala v. sessions']","[{'title': 'section 3-324(b) of the Maryland Criminal Law', 'chunk': 'Section 3-324(b) of the Maryland Criminal Law criminalizes soliciting a minor with intent to engage in an unlawful sexual offense.'}, {'title': 'section 3-307 of the Maryland Criminal Law', 'chunk': 'Section 3-307 of the Maryland Criminal Law prohibits sexual contact with a minor under 14 years old. The statute also addresses sexual acts with victims aged 14 or 15 and sets age differentials for perpetrators.'}, {'title': 'section 240A(a) of the Act', 'chunk': 'Section 240A(a) of the Act, regarding standards for exercising discretion for cancellation of removal, is mentioned in a case involving the solicitation of a minor.'}, {'title': 'section 212(a)(6)(A)(i) of the Immigration and Nationality Act', 'chunk': ""The case concerns an alien's removability under section 212(a)(6)(A)(i) of the Immigration and Nationality Act. The alien was convicted of soliciting a minor in violation of Maryland law.""}]",[],0,0,0,
"Under U.S. federal immigration law, can a former government employee of a foreign country's prison system, who received military training and monitored inmates, establish eligibility for asylum or withholding of removal based on a fear of persecution from criminal gangs, if the perceived threat stems from the nature of their former employment rather than an immutable characteristic, a protected social group, or a statutorily recognized political opinion?","The U.S. Court of Appeals for the Fifth Circuit denied the petition for review, affirming the Board of Immigration Appeals' (BIA) decision that the petitioner, a former employee of El Salvador's Ministry of Justice, was ineligible for asylum and withholding of removal. The court concluded that substantial evidence supported the BIA's finding that the petitioner failed to show the requisite nexus between the harm she feared and suffered and a protected statutory ground. The court agreed that her role, which included monitoring prisoners via video, receiving military training, wearing a uniform and mask, and being identified by gangs due to her employment, meant the dangers she faced arose from the nature of her employment and domestic unrest, not from a protected ground, consistent with *Matter of Fuentes*. Furthermore, the court rejected her argument of an imputed anti-gang political opinion, noting that ""pro rule-of-law, anti-corruption, and anti-gang"" is not a recognized political opinion for asylum and that criminally-motivated actions (such as gangs seeking to exploit her work-related access and knowledge) do not constitute persecution on account of a protected ground. As she failed to establish asylum eligibility, she also failed to meet the higher burden for withholding of removal.","[('usc', '8', ''), ('usc', '8', ''), ('usc', '8', ''), ('usc', '8', '')]","['martinez-de umana v. garland', 'cardona-franco v. garland', 'orellana-monson v. holder', 'omagah v. ashcroft', 'majd v. gonzales', 'shaikh v. holder', 'ins v. bagamasbad', 'soadjede v. ashcroft', 'cabrera v. sessions', 'vasquez-de lopez v. lynch', 'thuri v. ashcroft', 'garcia v. holder', 'vazquez-guerra v. garland']","[{'title': 'Federal Rule of Appellate Procedure 25(a)(2)(A)(iii)', 'chunk': 'Federal Rule of Appellate Procedure 25(a)(2)(A)(iii) was amended to add the prison mailbox rule, providing that an inmate’s filing is timely if deposited in the institution’s internal mail system on or before the last day for filing.'}]","[{'title': 'Matter of A-B-', 'chunk': 'The court document cites Matter of A-B- in a case about asylum, but the petition for review was denied. The IJ used it to determine if the government is unable or unwilling to protect an applicant from persecution.'}]",0,0,0,
"Can a U.S. federal agency refuse to fulfill a broadly worded FOIA request seeking all emails from high-ranking officials over a period of several months if the agency determines that the effort required for review, redaction, and production is unduly burdensome, even if the request describes the documents with sufficient precision to locate them?","Yes, a U.S. federal agency can refuse such a request. Binding precedent in the D.C. Circuit establishes that an agency need not respond to requests that entail an unduly burdensome effort of review, redaction, and production, even if the documents are described with sufficient precision. In this case, the requests sought ""all records sent or received electronically"" by three high-ranking officials over a nine-month period, yielding over 1.6 million pages and an estimated processing time of over two years and nine months (8,151 hours). The Court found this burden too high, particularly because the requests were not tailored to specific policy concerns, thus requiring the agency to process thousands of documents with no conceivable relation to the requester's stated interest (e.g., workplace emails about miscellaneous topics or health care plans). The Court also noted the risk of severe interference with the agency's IT systems due to the large data transfer. Therefore, the Court granted summary judgment in favor of the agency, concluding that the requests required an unduly burdensome post-search effort.","[('cfr', '6', '')]","['center for immigration studies v. us citizenship and immigration services', 'am. ctr. for law and just. v. dhs aclj', 'bowe-connor v. shinseki', 'celotex corp. v. catrett', 'anderson v. liberty lobby inc.', 'evans v. fed. bureau of prisons', 'doj v. reps. comm. for freedom of the press', 'truitt v. dept of state', 'miller v. casey', 'dale v. irs', 'dept of air force v. rose', 'kissinger v. reporters comm. for freedom of the press', 'u.s. fish and wildlife serv. v. sierra club inc.', 'forsham v. harris', 'yeager v. dea', 'kowalczyk v. doj', 'aguiar v. dea', 'long v. ice', 'natl student leg. def. network v. dept of ed. no.', 'inst. for just. v. irs', 'freedom watch inc. v. dept of state', 'cnn v. fbi', 'goland v. cia', 'natl sec. cnslrs v. cia', 'freedom watch inc. v. nsa', 'american federation of government employees v. department of commerce afge', 'brown v. wmata no.', 'cause of action inst. v. irs', 'mcclanahan v. doj', 'ayuda inc. v. ftc', 'judicial watch inc. v. doj no.', 'mcgehee v. doj', 'kwoka v. irs no.', 'schladetsch v. hud no.']",[],"[{'title': 'Am. Ctr. for Law and Just. v. DHS (ACLJ), 573 F. Supp. 3d 78', 'chunk': 'Am. Ctr. for Law and Just. v. DHS (ACLJ), 573 F. Supp. 3d 78, involved a FOIA request for all emails from three high-ranking USCIS officials.'}, {'title': 'Evans v. Fed. Bureau of Prisons, 951 F.3d 578', 'chunk': 'In Evans v. Fed. Bureau of Prisons, 951 F.3d 578, the court held that an agency need not respond to requests that entail an unduly burdensome effort of review, redaction, and production.'}]",0,0,0,
